average_flux,air_temp_avg,deep_soil_temp,mid_soil_temp,shallow_soil_temp,soil_moisture,light,time
0.6304,12.933,3.5115,4.151,6.3823,0.191,854.63,4.5
0.74096,14.343,4.1743,5.2093,7.1068,0.19,181.92,4.5417
0.78505,13.66,4.5912,5.6808,6.8797,0.189,118.8,4.5833
0.55933,12.063,4.8129,5.7057,6.7405,0.189,96.612,4.625
0.95984,9.16,4.9715,5.6419,6.4693,0.189,65.883,4.6667
0.83657,7.1633,5.0733,5.4409,5.9407,0.188,2.9667,4.7083
0.88079,9.1567,5.037,5.076,5.3163,0.188,1.3,4.75
0.99179,10.448,4.9942,4.9511,5.1736,0.18717,1.3,4.7917
0.85266,7.5633,4.9297,4.8206,4.9469,0.187,1.3,4.8333
1.1698,7.5958,4.8661,4.6164,4.636,0.187,1.3,4.875
0.69028,8.89,4.7785,4.4309,4.4363,0.187,1.3,4.9167
1.1834,10.882,4.7157,4.4338,4.519,0.18617,1.3,4.9583
0.91963,10.99,4.675,4.4367,4.5493,0.186,1.3,5
0.85684,8.2078,4.6772,4.4222,4.6057,0.186,1.3,5.0417
0.97739,13.144,4.6577,4.493,4.558,0.185,1.3,5.0833
1.3428,14.438,4.7071,4.6132,4.753,0.185,1.3,5.125
1.0463,14.892,4.7487,4.7313,4.9383,0.18433,1.3,5.1667
1.2454,15.747,4.8522,4.889,5.1237,0.18417,1.3,5.2083
1.3695,15.425,4.96,5.0635,5.334,0.183,1.3,5.25
1.0391,15.937,5.0439,5.16,5.4153,0.183,5.675,5.2917
1.2772,16.127,5.1492,5.3295,5.5563,0.183,20.05,5.3333
1.1648,16.38,5.2408,5.4913,5.732,0.183,35.675,5.375
1.196,15.617,5.3163,5.6672,5.932,0.183,57.55,5.4167
1.0778,18.502,5.5582,6.3572,7.3683,0.182,1014.8,5.4583
0.93064,20,6.1505,7.6665,9.386,0.182,796.3,5.5
1.2569,18.47,6.6452,7.8962,9.0602,0.181,227.13,5.5417
1.2037,18.027,6.8607,8.0937,8.833,0.181,173.38,5.5833
